start,end,time_inst,p1_1,p1_2,p1_3,p2_1,p2_2,p2_3,p3_1,p3_2,p3_3,p5_1,p5_2,p5_3,p6_1,p6_2,p6_3,p7_1,p7_2,p7_3,p8_1,p8_2,p8_3,p9_1,p9_2,p9_3,p10_1,p10_2,p10_3,p11_1,p11_2,p11_3,p12_1,p12_2,p12_3,p13_1,p13_2,p13_3,p14_1,p14_2,p14_3,p15_1,p15_2,p15_3,p16_1,p16_2,p16_3,p17_1,p17_2,p17_3,p18_1,p18_2,p18_3,p19_1,p19_2,p19_3,p20_1,p20_2,p20_3,p21_1,p21_2,p21_3,p22_1,p22_2,p22_3,p23_1,p23_2,p23_3,p24_1,p24_2,p24_3,p25_1,p25_2,p25_3,p26_1,p26_2,p26_3,p27_1,p27_2,p27_3,p28_1,p28_2,p28_3,p29_1,p29_2,p29_3,p30_1,p30_2,p30_3,p31_1,p31_2,p31_3,p32_1,p32_2,p32_3,p33_1,p33_2,p33_3,p34_1,p34_2,p34_3,p35_1,p35_2,p35_3,p36_1,p36_2,p36_3,p37_1,p37_2,p37_3,p38_1,p38_2,p38_3,p39_1,p39_2,p39_3,p40_1,p40_2,p40_3
5/25/17 0:20,5/25/17 0:27,36.179,,,,,,,,,,,,,,,,,,,81,100,70,,,,,,,5,5,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,15,37,,,,,,,14,74,25,,,,,,,20,59,29,,,,62,55,59,,,,22,59,14,5,5,9,,,,12,30,27,10,60,8,,,,,,,,,,,,
5/25/17 0:20,5/25/17 0:28,189.751,,,,26,46,61,,,,,,,43,60,48,76,40,55,,,,,,,51,51,53,33,62,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,46,57,,,,,,,,,,,,,,,,,,,,,,66,43,54,,,,,,,33,63,49,45,58,51,,,,,,,,,,74,57,43
5/25/17 0:26,5/25/17 0:31,135.67,91,81,85,,,,83,43,55,82,51,67,,,,,,,,,,38,28,26,,,,,,,,,,25,41,21,,,,,,,,,,35,26,37,,,,,,,,,,31,18,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,19,27,,,,58,27,24,,,,,,,,,,86,79,84,,,,,,,,,
5/25/17 0:25,5/25/17 0:37,472.014,,,,,,,,,,51,51,0,,,,,,,52,53,0,,,,14,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,53,0,12,52,0,,,,0,51,0,19,82,0,7,69,0,,,,12,52,0,,,,,,,,,,15,53,0,,,,,,,,,,,,,,,,,,
5/25/17 0:36,5/25/17 0:40,167.219,26,44,53,,,,,,,,,,,,,,,,,,,,,,,,,19,35,27,,,,24,56,41,40,68,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,70,48,,,,,,,65,58,70,,,,66,73,51,,,,,,,,,,,,,44,66,61,,,,59,67,95,,,,,,,64,83,79
5/25/17 0:35,5/25/17 0:41,37.8,100,100,100,,,,49,49,15,,,,92,100,49,60,85,48,,,,,,,,,,,,,,,,,,,95,100,86,,,,,,,0,0,0,,,,,,,72,0,0,,,,,,,,,,,,,,,,,,,,,,50,50,20,,,,,,,,,,,,,,,,,,,18,89,37,,,,100,81,92,,,,,,,,,
5/25/17 0:33,5/25/17 0:50,64.078,,,,,,,,,,,,,,,,,,,,,,28,55,20,,,,60,45,56,,,,,,,,,,82,47,64,,,,,,,75,33,50,77,50,88,,,,58,28,79,48,37,66,,,,,,,,,,,,,,,,,,,39,63,28,,,,,,,,,,,,,72,86,36,,,,,,,,,,83,44,23,,,,,,
5/25/17 1:00,5/25/17 1:03,34.898,,,,,,,34,76,29,,,,,,,,,,,,,,,,45,43,49,33,61,44,,,,,,,,,,,,,60,54,49,51,59,60,,,,65,57,58,,,,,,,,,,,,,,,,,,,,,,,,,43,79,49,,,,,,,,,,,,,,,,65,51,56,,,,,,,,,,40,53,54,52,62,56,,,
5/25/17 1:00,5/25/17 1:03,21.951,,,,,,,,,,,,,,,,,,,2,51,2,25,53,3,,,,,,,,,,,,,,,,8,12,16,21,9,26,21,42,29,3,67,3,,,,2,11,2,18,10,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,45,8,,,,,,,35,21,27,,,,,,,,,,,,,,,,,,
5/25/17 1:00,5/25/17 1:06,32.278,,,,,,,,,,,,,70,100,30,10,100,5,70,100,40,30,100,10,,,,,,,,,,0,10,0,,,,50,100,10,,,,,,,0,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,70,100,50,70,100,50,,,,,,,,,,,,,,,,,,,,,,,,
5/25/17 1:01,5/25/17 1:06,40.804,35,55,25,40,58,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,7,7,,,,,,,5,10,7,18,40,16,2,1,5,,,,9,34,11,,,,,,,,,,,,,,,,,,,9,11,9,17,26,15,,,,,,,,,,,,,9,11,39
5/25/17 1:01,5/25/17 1:07,282.194,,,,50,48,79,,,,,,,,,,,,,42,54,38,73,65,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,56,62,,,,61,53,65,,,,62,49,65,,,,,,,47,47,68,,,,,,,,,,,,,,,,50,44,42,57,28,41,,,,,,,55,57,60,,,
5/25/17 1:03,5/25/17 1:09,66.417,,,,,,,75,80,60,,,,100,90,90,,,,,,,,,,,,,,,,20,40,60,,,,,,,,,,,,,60,90,20,20,10,1,,,,50,40,5,90,80,40,,,,30,15,1,,,,,,,,,,,,,80,60,60,,,,,,,,,,,,,,,,,,,,,,,,,90,80,50,,,,,,,,,
5/25/17 1:01,5/25/17 1:13,45.207,,,,,,,,,,50,50,1,,,,,,,,,,,,,,,,,,,50,66,30,,,,20,50,1,,,,,,,,,,,,,,,,,,,50,12,75,1,50,40,,,,,,,,,,1,50,9,,,,,,,,,,82,100,90,,,,,,,0,100,0,,,,,,,1,50,1,12,50,25,,,,,,,,,
5/25/17 1:05,5/25/17 1:14,67.365,,,,,,,,,,80,100,30,,,,,,,,,,,,,,,,,,,,,,9,100,51,,,,0,100,35,30,100,10,,,,,,,100,100,30,,,,,,,,,,,,,,,,50,100,30,,,,,,,,,,,,,,,,,,,80,100,10,0,0,0,,,,,,,,,,,,,10,100,30,,,,100,100,100
5/25/17 1:10,5/25/17 1:19,62.511,100,100,50,,,,,,,,,,,,,25,100,5,,,,,,,100,100,90,10,50,20,,,,,,,25,10,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,80,3,,,,10,40,5,90,25,70,75,100,30,,,,,,,,,,,,,,,,100,100,100,,,,,,,,,
